epoch,lr,train_total,train_cp,train_wss,train_cd,train_cl,val_total,val_cp,val_wss,val_cd,val_cl,time_s
1,0.0009990143508499217,1.290881749348981,0.11025619407494863,0.13791319156686466,1.0427123634645383,0,1.2913113166888555,0.09310199071963628,0.12841073820988338,1.0697985802465861,0,1850.0917084217072
2,0.0009960612933065818,1.265851312520958,0.09350653343967029,0.12801525230918612,1.044329529519919,0,1.2139066245820787,0.09276656657457352,0.12811402496364382,0.9930260348237223,0,1038.1420223712921
3,0.00099115248173898,1.2651984149501436,0.0930748927806105,0.12767116040700957,1.0444523680162439,0,1.1940904885530472,0.0929194074538019,0.12801277223560545,0.9731583066540124,0,1038.2627160549164
4,0.0009843072889837512,1.247176347034318,0.09270578527024814,0.12749492746023905,1.026975633205092,0,1.1959579358498256,0.09251265823841096,0.12794548587666618,0.9754997993764442,0,1038.1676652431488
5,0.0009755527298894294,1.2343304468762306,0.09256894861658414,0.1274075426161289,1.0143539566197433,0,1.1980618870920605,0.09231588111983405,0.12787984245353276,0.9778661733797183,0,1038.3611950874329
6,0.0009649233547011816,1.2251344313933736,0.0923174548007193,0.12737940432769912,1.005437567900628,0,1.2051313479741415,0.09286716116799248,0.12787616037660174,0.9843880394984605,0,1038.485377073288
7,0.0009524611127067769,1.2334874161652156,0.0925202359755834,0.1273681889332476,1.0135989933481575,0,1.1959498484929403,0.0923114687204361,0.12786702629592683,0.9757713492802901,0,1038.1269781589508
8,0.0009382151866819099,1.2142582564126878,0.09224288655178887,0.12737660908273288,0.9946387635066057,0,1.2521377212471432,0.0926558761133088,0.12836964593993294,1.0311121921645179,0,1038.279868364334
9,0.0009222417987882566,1.2540824997283164,0.09268257869851021,0.12766234888916925,1.0337375654137424,0,1.2256288058227962,0.09239415774742762,0.1278630546397633,1.0053715995111916,0,1037.9874889850616
10,0.0009046039886902864,1.2626681788336662,0.09248928257397243,0.12748221932422546,1.0426966780136613,0,1.23012795580758,0.0922691876689593,0.1279015584124459,1.0099572129699583,0,1038.1592576503754
11,0.0008853713647665069,1.2351625573067437,0.09217952067653339,0.12732909431769734,1.015653941903301,0,1.2025512178738913,0.09226708362499873,0.1278689737121264,0.9824151600470132,0,1038.210021495819
12,0.0008646198293969952,1.2274403203101385,0.09220507673564411,0.12732166303765205,1.0079135815140554,0,1.2052728050284915,0.09235505279567506,0.12785105986727607,0.9850666787139036,0,1038.2496898174286
13,0.0008424312794113801,1.2314850344544366,0.09219913191738582,0.1273167504086381,1.0119691491484597,0,1.2007957683669197,0.09224387407302856,0.1278354807032479,0.9807164004893921,0,1038.2982132434845
